epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.455,2.19262,3.4001,1.96206,0.21802,0.18101,0.1159,0.04444,2.39455,3.80207,2.15257,0.000416071,0.000416071,0.000416071
2,195.027,2.22694,2.95922,1.9786,0.23482,0.22761,0.14886,0.05367,2.34629,4.36783,2.16517,0.000791518,0.000791518,0.000791518
3,290.363,2.20992,2.89032,1.96439,0.47635,0.15917,0.1526,0.05801,2.29359,3.53151,2.02859,0.00112571,0.00112571,0.00112571
4,381.875,2.15163,2.79138,1.92398,0.29108,0.2586,0.20227,0.07898,2.21818,3.23312,1.95046,0.00106437,0.00106437,0.00106437
5,477.791,2.07034,2.64171,1.85549,0.24919,0.31858,0.21906,0.09063,2.11002,3.11334,1.91247,0.0010025,0.0010025,0.0010025
6,576.012,2.0358,2.56455,1.82679,0.33924,0.30913,0.25574,0.10933,2.07037,2.84641,1.84349,0.000940625,0.000940625,0.000940625
7,672.625,1.98237,2.47631,1.78666,0.32512,0.33442,0.24491,0.10603,2.01829,2.98231,1.84185,0.00087875,0.00087875,0.00087875
8,765.334,1.9478,2.43972,1.76538,0.36264,0.34586,0.28553,0.12361,1.99632,2.73041,1.79351,0.000816875,0.000816875,0.000816875
9,859.409,1.92513,2.37948,1.73648,0.37647,0.35263,0.31203,0.136,1.92714,2.77856,1.73951,0.000755,0.000755,0.000755
10,954.056,1.9069,2.31479,1.7068,0.40687,0.37441,0.34248,0.15308,1.94294,2.58147,1.74774,0.000693125,0.000693125,0.000693125
11,1049.01,1.90699,2.31382,1.76833,0.40967,0.37855,0.34762,0.15674,1.92468,2.41507,1.71144,0.00063125,0.00063125,0.00063125
12,1141.38,1.86101,2.22853,1.72636,0.43322,0.39224,0.36722,0.16502,1.91136,2.44826,1.69412,0.000569375,0.000569375,0.000569375
13,1234.1,1.84463,2.17583,1.7213,0.42026,0.41204,0.38168,0.17725,1.87702,2.3513,1.69519,0.0005075,0.0005075,0.0005075
14,1328.8,1.81409,2.0979,1.6969,0.44141,0.42362,0.3991,0.18211,1.86295,2.39378,1.67488,0.000445625,0.000445625,0.000445625
15,1422.22,1.78045,2.05967,1.66322,0.44098,0.4399,0.40796,0.1891,1.8664,2.296,1.66951,0.00038375,0.00038375,0.00038375
16,1514.96,1.76089,1.99702,1.6582,0.49227,0.44173,0.42694,0.20479,1.85247,2.31239,1.65037,0.000321875,0.000321875,0.000321875
17,1610.35,1.73252,1.94158,1.63457,0.46924,0.46712,0.43812,0.21469,1.81848,2.19615,1.64743,0.00026,0.00026,0.00026
18,1703.5,1.6971,1.89815,1.60986,0.48387,0.47182,0.45133,0.21771,1.80513,2.21127,1.63807,0.000198125,0.000198125,0.000198125
19,1796.44,1.68999,1.83855,1.60658,0.49614,0.48272,0.45858,0.2277,1.78685,2.14801,1.61555,0.00013625,0.00013625,0.00013625
20,1889.73,1.65302,1.78197,1.57989,0.52982,0.4853,0.47445,0.23712,1.78083,2.08756,1.61584,7.4375e-05,7.4375e-05,7.4375e-05
