epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.239,2.09927,3.07693,1.87861,0.23493,0.29648,0.16788,0.06361,2.20769,3.32062,1.96727,0.000416303,0.000416303,0.000416303
2,311.943,2.10189,2.71311,1.8959,0.2757,0.25982,0.18455,0.0725,2.20348,3.43484,1.94997,0.000791738,0.000791738,0.000791738
3,461.287,2.07817,2.63452,1.8582,0.27915,0.3133,0.21749,0.0912,2.12819,3.06539,1.90618,0.00112592,0.00112592,0.00112592
4,609.634,2.004,2.50286,1.79711,0.34799,0.32618,0.27264,0.11563,2.06604,2.74401,1.82006,0.00106437,0.00106437,0.00106437
5,755.688,1.9385,2.41421,1.76053,0.3662,0.37055,0.29322,0.12578,2.05648,2.60454,1.79971,0.0010025,0.0010025,0.0010025
6,899.826,1.89994,2.32987,1.72139,0.42369,0.38745,0.34368,0.15525,1.97422,2.68831,1.76796,0.000940625,0.000940625,0.000940625
7,1044.58,1.86976,2.24496,1.69508,0.39233,0.38629,0.35094,0.16293,1.94174,2.49572,1.73106,0.00087875,0.00087875,0.00087875
8,1191.68,1.83453,2.15944,1.66647,0.46518,0.41647,0.39659,0.18406,1.93236,2.38111,1.70331,0.000816875,0.000816875,0.000816875
9,1336.4,1.8091,2.13037,1.65119,0.47815,0.43634,0.41869,0.20099,1.89694,2.3319,1.67858,0.000755,0.000755,0.000755
10,1484.03,1.7855,2.07685,1.62834,0.43743,0.4437,0.40072,0.18757,1.90064,2.35656,1.70384,0.000693125,0.000693125,0.000693125
11,1629.43,1.80453,2.05562,1.68166,0.48971,0.45476,0.42913,0.20496,1.86791,2.32798,1.64707,0.00063125,0.00063125,0.00063125
12,1774.36,1.76879,1.99527,1.65323,0.51368,0.45381,0.44017,0.21448,1.84669,2.23349,1.64159,0.000569375,0.000569375,0.000569375
13,1917.67,1.74711,1.94995,1.64315,0.50042,0.48375,0.46636,0.22815,1.8134,2.19638,1.62918,0.0005075,0.0005075,0.0005075
14,2063.02,1.71976,1.89291,1.61467,0.52998,0.47906,0.47357,0.23762,1.7941,2.12911,1.60093,0.000445625,0.000445625,0.000445625
15,2210.89,1.69587,1.84467,1.6083,0.54927,0.48231,0.49215,0.24545,1.80358,2.1055,1.63382,0.00038375,0.00038375,0.00038375
16,2356.19,1.67238,1.77927,1.58024,0.53646,0.49784,0.49734,0.25479,1.78231,2.04627,1.58741,0.000321875,0.000321875,0.000321875
17,2503,1.64779,1.73211,1.56425,0.5608,0.51788,0.51968,0.26537,1.79312,2.02156,1.60109,0.00026,0.00026,0.00026
18,2649.49,1.62128,1.68837,1.55055,0.56272,0.51936,0.52944,0.27279,1.76768,1.96197,1.58743,0.000198125,0.000198125,0.000198125
19,2795.55,1.61031,1.64894,1.53592,0.57698,0.52538,0.53655,0.27638,1.76785,1.9494,1.58266,0.00013625,0.00013625,0.00013625
20,2943.88,1.57906,1.60557,1.51543,0.58989,0.52822,0.54487,0.28355,1.75977,1.94045,1.57421,7.4375e-05,7.4375e-05,7.4375e-05
